np_previous_word,np_one_word,np_one_word_next,np_two_word,np_two_word_next,np_three_word,np_three_word_next
"
",thyself,thy,"('thyself', 'thy')",foe,"('thyself', 'thy', 'foe')",
thyself,thy,foe,"('thy', 'foe')",,"('thy', 'foe', '')",to
thy,foe,,"('foe', '')",to,"('foe', '', 'to')",thy
foe,,to,"('', 'to')",thy,"('', 'to', 'thy')",sweet
,to,thy,"('to', 'thy')",sweet,"('to', 'thy', 'sweet')",self
to,thy,sweet,"('thy', 'sweet')",self,"('thy', 'sweet', 'self')",too
thy,sweet,self,"('sweet', 'self')",too,"('sweet', 'self', 'too')",cruel
sweet,self,too,"('self', 'too')",cruel,"('self', 'too', 'cruel')",
self,too,cruel,"('too', 'cruel')",,"('too', 'cruel', '')","
"
too,cruel,,"('cruel', '')","
","
","
"
cruel,,"
","
","
","
","
"
"
",thou,that,"('thou', 'that')",art,"('thou', 'that', 'art')",now
thou,that,art,"('that', 'art')",now,"('that', 'art', 'now')",the
that,art,now,"('art', 'now')",the,"('art', 'now', 'the')",world's
art,now,the,"('now', 'the')",world's,"('now', 'the', ""world's"")",fresh
now,the,world's,"('the', ""world's"")",fresh,"('the', ""world's"", 'fresh')",ornament
the,world's,fresh,"(""world's"", 'fresh')",ornament,"(""world's"", 'fresh', 'ornament')","
"
world's,fresh,ornament,"('fresh', 'ornament')","
","
","
"
fresh,ornament,"
","
","
","
","
"
"
",and,only,"('and', 'only')",herald,"('and', 'only', 'herald')",to
and,only,herald,"('only', 'herald')",to,"('only', 'herald', 'to')",the
only,herald,to,"('herald', 'to')",the,"('herald', 'to', 'the')",gaudy
herald,to,the,"('to', 'the')",gaudy,"('to', 'the', 'gaudy')",spring
to,the,gaudy,"('the', 'gaudy')",spring,"('the', 'gaudy', 'spring')",
the,gaudy,spring,"('gaudy', 'spring')",,"('gaudy', 'spring', '')","
"
gaudy,spring,,"('spring', '')","
","
","
"
spring,,"
","
","
","
","
"
"
",within,thine,"('within', 'thine')",own,"('within', 'thine', 'own')",bud
within,thine,own,"('thine', 'own')",bud,"('thine', 'own', 'bud')",buriest
thine,own,bud,"('own', 'bud')",buriest,"('own', 'bud', 'buriest')",thy
own,bud,buriest,"('bud', 'buriest')",thy,"('bud', 'buriest', 'thy')",content
bud,buriest,thy,"('buriest', 'thy')",content,"('buriest', 'thy', 'content')","
"
buriest,thy,content,"('thy', 'content')","
","
","
"
thy,content,"
","
","
","
","
"
"
",and,,"('and', '')",tender,"('and', '', 'tender')",churl
and,,tender,"('', 'tender')",churl,"('', 'tender', 'churl')",
,tender,churl,"('tender', 'churl')",,"('tender', 'churl', '')",makest
tender,churl,,"('churl', '')",makest,"('churl', '', 'makest')",waste
churl,,makest,"('', 'makest')",waste,"('', 'makest', 'waste')",in
,makest,waste,"('makest', 'waste')",in,"('makest', 'waste', 'in')",niggarding
makest,waste,in,"('waste', 'in')",niggarding,"('waste', 'in', 'niggarding')",
waste,in,niggarding,"('in', 'niggarding')",,"('in', 'niggarding', '')","
"
in,niggarding,,"('niggarding', '')","
","
","
"
niggarding,,"
","
","
","
","
"
"
",,,"('', '')",pity,"('', '', 'pity')",the
,,pity,"('', 'pity')",the,"('', 'pity', 'the')",world
,pity,the,"('pity', 'the')",world,"('pity', 'the', 'world')",
pity,the,world,"('the', 'world')",,"('the', 'world', '')",or
the,world,,"('world', '')",or,"('world', '', 'or')",else
world,,or,"('', 'or')",else,"('', 'or', 'else')",this
,or,else,"('or', 'else')",this,"('or', 'else', 'this')",glutton
or,else,this,"('else', 'this')",glutton,"('else', 'this', 'glutton')",be
else,this,glutton,"('this', 'glutton')",be,"('this', 'glutton', 'be')",
this,glutton,be,"('glutton', 'be')",,"('glutton', 'be', '')","
"
"
",,,"('', '')",to,"('', '', 'to')",eat
,,to,"('', 'to')",eat,"('', 'to', 'eat')",the
,to,eat,"('to', 'eat')",the,"('to', 'eat', 'the')",world's
to,eat,the,"('eat', 'the')",world's,"('eat', 'the', ""world's"")",due
eat,the,world's,"('the', ""world's"")",due,"('the', ""world's"", 'due')",
the,world's,due,"(""world's"", 'due')",,"(""world's"", 'due', '')",by
world's,due,,"('due', '')",by,"('due', '', 'by')",the
due,,by,"('', 'by')",the,"('', 'by', 'the')",grave
,by,the,"('by', 'the')",grave,"('by', 'the', 'grave')",and
by,the,grave,"('the', 'grave')",and,"('the', 'grave', 'and')",thee
the,grave,and,"('grave', 'and')",thee,"('grave', 'and', 'thee')",
grave,and,thee,"('and', 'thee')",,"('and', 'thee', '')","
"
"
",when,forty,"('when', 'forty')",winters,"('when', 'forty', 'winters')",shall
when,forty,winters,"('forty', 'winters')",shall,"('forty', 'winters', 'shall')",beseige
forty,winters,shall,"('winters', 'shall')",beseige,"('winters', 'shall', 'beseige')",thy
winters,shall,beseige,"('shall', 'beseige')",thy,"('shall', 'beseige', 'thy')",brow
shall,beseige,thy,"('beseige', 'thy')",brow,"('beseige', 'thy', 'brow')",
beseige,thy,brow,"('thy', 'brow')",,"('thy', 'brow', '')","
"
thy,brow,,"('brow', '')","
","
","
"
brow,,"
","
","
","
","
"
"
",and,dig,"('and', 'dig')",deep,"('and', 'dig', 'deep')",trenches
and,dig,deep,"('dig', 'deep')",trenches,"('dig', 'deep', 'trenches')",in
dig,deep,trenches,"('deep', 'trenches')",in,"('deep', 'trenches', 'in')",thy
deep,trenches,in,"('trenches', 'in')",thy,"('trenches', 'in', 'thy')",beauty's
trenches,in,thy,"('in', 'thy')",beauty's,"('in', 'thy', ""beauty's"")",field
in,thy,beauty's,"('thy', ""beauty's"")",field,"('thy', ""beauty's"", 'field')",
thy,beauty's,field,"(""beauty's"", 'field')",,"(""beauty's"", 'field', '')","
"
beauty's,field,,"('field', '')","
","
","
"
field,,"
","
","
","
","
"
"
",thy,youth's,"('thy', ""youth's"")",proud,"('thy', ""youth's"", 'proud')",livery
thy,youth's,proud,"(""youth's"", 'proud')",livery,"(""youth's"", 'proud', 'livery')",
youth's,proud,livery,"('proud', 'livery')",,"('proud', 'livery', '')",so
proud,livery,,"('livery', '')",so,"('livery', '', 'so')",gazed
livery,,so,"('', 'so')",gazed,"('', 'so', 'gazed')",on
,so,gazed,"('so', 'gazed')",on,"('so', 'gazed', 'on')",now
so,gazed,on,"('gazed', 'on')",now,"('gazed', 'on', 'now')",
gazed,on,now,"('on', 'now')",,"('on', 'now', '')","
"
on,now,,"('now', '')","
","
","
"
now,,"
","
","
","
","
"
"
",will,be,"('will', 'be')",a,"('will', 'be', 'a')",tatter'd
will,be,a,"('be', 'a')",tatter'd,"('be', 'a', ""tatter'd"")",weed
be,a,tatter'd,"('a', ""tatter'd"")",weed,"('a', ""tatter'd"", 'weed')",
a,tatter'd,weed,"(""tatter'd"", 'weed')",,"(""tatter'd"", 'weed', '')",of
tatter'd,weed,,"('weed', '')",of,"('weed', '', 'of')",small
weed,,of,"('', 'of')",small,"('', 'of', 'small')",worth
,of,small,"('of', 'small')",worth,"('of', 'small', 'worth')",held
of,small,worth,"('small', 'worth')",held,"('small', 'worth', 'held')",
small,worth,held,"('worth', 'held')",,"('worth', 'held', '')","
"
worth,held,,"('held', '')","
","
","
"
held,,"
","
","
","
","
"
"
",then,being,"('then', 'being')",ask'd,"('then', 'being', ""ask'd"")",where
then,being,ask'd,"('being', ""ask'd"")",where,"('being', ""ask'd"", 'where')",all
being,ask'd,where,"(""ask'd"", 'where')",all,"(""ask'd"", 'where', 'all')",thy
ask'd,where,all,"('where', 'all')",thy,"('where', 'all', 'thy')",beauty
where,all,thy,"('all', 'thy')",beauty,"('all', 'thy', 'beauty')",lies
all,thy,beauty,"('thy', 'beauty')",lies,"('thy', 'beauty', 'lies')",
thy,beauty,lies,"('beauty', 'lies')",,"('beauty', 'lies', '')","
"
beauty,lies,,"('lies', '')","
","
","
"
lies,,"
","
","
","
","
"
"
",where,all,"('where', 'all')",the,"('where', 'all', 'the')",treasure
where,all,the,"('all', 'the')",treasure,"('all', 'the', 'treasure')",of
all,the,treasure,"('the', 'treasure')",of,"('the', 'treasure', 'of')",thy
the,treasure,of,"('treasure', 'of')",thy,"('treasure', 'of', 'thy')",lusty
treasure,of,thy,"('of', 'thy')",lusty,"('of', 'thy', 'lusty')",days
of,thy,lusty,"('thy', 'lusty')",days,"('thy', 'lusty', 'days')",
thy,lusty,days,"('lusty', 'days')",,"('lusty', 'days', '')","
"
lusty,days,,"('days', '')","
","
","
"
days,,"
","
","
","
","
"
"
",to,say,"('to', 'say')",,"('to', 'say', '')",within
to,say,,"('say', '')",within,"('say', '', 'within')",thine
say,,within,"('', 'within')",thine,"('', 'within', 'thine')",own
,within,thine,"('within', 'thine')",own,"('within', 'thine', 'own')",deep
within,thine,own,"('thine', 'own')",deep,"('thine', 'own', 'deep')",sunken
thine,own,deep,"('own', 'deep')",sunken,"('own', 'deep', 'sunken')",eyes
own,deep,sunken,"('deep', 'sunken')",eyes,"('deep', 'sunken', 'eyes')",
deep,sunken,eyes,"('sunken', 'eyes')",,"('sunken', 'eyes', '')","
"
sunken,eyes,,"('eyes', '')","
","
","
"
eyes,,"
","
","
","
","
"
"
",were,an,"('were', 'an')",all,"('were', 'an', 'all')",eating
were,an,all,"('an', 'all')",eating,"('an', 'all', 'eating')",shame
an,all,eating,"('all', 'eating')",shame,"('all', 'eating', 'shame')",and
all,eating,shame,"('eating', 'shame')",and,"('eating', 'shame', 'and')",thriftless
eating,shame,and,"('shame', 'and')",thriftless,"('shame', 'and', 'thriftless')",praise
shame,and,thriftless,"('and', 'thriftless')",praise,"('and', 'thriftless', 'praise')",
and,thriftless,praise,"('thriftless', 'praise')",,"('thriftless', 'praise', '')","
"
thriftless,praise,,"('praise', '')","
","
","
"
praise,,"
","
","
","
","
"
"
",how,much,"('how', 'much')",more,"('how', 'much', 'more')",praise
how,much,more,"('much', 'more')",praise,"('much', 'more', 'praise')",deserved
much,more,praise,"('more', 'praise')",deserved,"('more', 'praise', 'deserved')",thy
more,praise,deserved,"('praise', 'deserved')",thy,"('praise', 'deserved', 'thy')",beauty's
praise,deserved,thy,"('deserved', 'thy')",beauty's,"('deserved', 'thy', ""beauty's"")",use
deserved,thy,beauty's,"('thy', ""beauty's"")",use,"('thy', ""beauty's"", 'use')",
thy,beauty's,use,"(""beauty's"", 'use')",,"(""beauty's"", 'use', '')","
"
beauty's,use,,"('use', '')","
","
","
"
use,,"
","
","
","
","
"
"
",if,thou,"('if', 'thou')",couldst,"('if', 'thou', 'couldst')",answer
if,thou,couldst,"('thou', 'couldst')",answer,"('thou', 'couldst', 'answer')",'this
thou,couldst,answer,"('couldst', 'answer')",'this,"('couldst', 'answer', ""'this"")",fair
couldst,answer,'this,"('answer', ""'this"")",fair,"('answer', ""'this"", 'fair')",child
answer,'this,fair,"(""'this"", 'fair')",child,"(""'this"", 'fair', 'child')",of
'this,fair,child,"('fair', 'child')",of,"('fair', 'child', 'of')",mine
fair,child,of,"('child', 'of')",mine,"('child', 'of', 'mine')","
"
child,of,mine,"('of', 'mine')","
","
","
"
of,mine,"
","
","
","
","
"
"
",shall,sum,"('shall', 'sum')",my,"('shall', 'sum', 'my')",count
shall,sum,my,"('sum', 'my')",count,"('sum', 'my', 'count')",and
sum,my,count,"('my', 'count')",and,"('my', 'count', 'and')",make
my,count,and,"('count', 'and')",make,"('count', 'and', 'make')",my
count,and,make,"('and', 'make')",my,"('and', 'make', 'my')",old
and,make,my,"('make', 'my')",old,"('make', 'my', 'old')",excuse
make,my,old,"('my', 'old')",excuse,"('my', 'old', 'excuse')",'
my,old,excuse,"('old', 'excuse')",',"('old', 'excuse', ""'"")","
"
old,excuse,',"('excuse', ""'"")","
","
","
"
excuse,',"
","
","
","
","
"
"
",proving,his,"('proving', 'his')",beauty,"('proving', 'his', 'beauty')",by
proving,his,beauty,"('his', 'beauty')",by,"('his', 'beauty', 'by')",succession
his,beauty,by,"('beauty', 'by')",succession,"('beauty', 'by', 'succession')",thine!
beauty,by,succession,"('by', 'succession')",thine!,"('by', 'succession', 'thine!')","
"
by,succession,thine!,"('succession', 'thine!')","
","
","
"
succession,thine!,"
","
","
","
","
"
"
",,,"('', '')",this,"('', '', 'this')",were
,,this,"('', 'this')",were,"('', 'this', 'were')",to
,this,were,"('this', 'were')",to,"('this', 'were', 'to')",be
this,were,to,"('were', 'to')",be,"('were', 'to', 'be')",new
were,to,be,"('to', 'be')",new,"('to', 'be', 'new')",made
to,be,new,"('be', 'new')",made,"('be', 'new', 'made')",when
be,new,made,"('new', 'made')",when,"('new', 'made', 'when')",thou
new,made,when,"('made', 'when')",thou,"('made', 'when', 'thou')",art
made,when,thou,"('when', 'thou')",art,"('when', 'thou', 'art')",old
when,thou,art,"('thou', 'art')",old,"('thou', 'art', 'old')",
thou,art,old,"('art', 'old')",,"('art', 'old', '')","
"
"
",,,"('', '')",and,"('', '', 'and')",see
,,and,"('', 'and')",see,"('', 'and', 'see')",thy
,and,see,"('and', 'see')",thy,"('and', 'see', 'thy')",blood
and,see,thy,"('see', 'thy')",blood,"('see', 'thy', 'blood')",warm
see,thy,blood,"('thy', 'blood')",warm,"('thy', 'blood', 'warm')",when
thy,blood,warm,"('blood', 'warm')",when,"('blood', 'warm', 'when')",thou
blood,warm,when,"('warm', 'when')",thou,"('warm', 'when', 'thou')",feel'st
warm,when,thou,"('when', 'thou')",feel'st,"('when', 'thou', ""feel'st"")",it
when,thou,feel'st,"('thou', ""feel'st"")",it,"('thou', ""feel'st"", 'it')",cold
thou,feel'st,it,"(""feel'st"", 'it')",cold,"(""feel'st"", 'it', 'cold')",
feel'st,it,cold,"('it', 'cold')",,"('it', 'cold', '')","
"
"
",look,in,"('look', 'in')",thy,"('look', 'in', 'thy')",glass
look,in,thy,"('in', 'thy')",glass,"('in', 'thy', 'glass')",
in,thy,glass,"('thy', 'glass')",,"('thy', 'glass', '')",and
thy,glass,,"('glass', '')",and,"('glass', '', 'and')",tell
glass,,and,"('', 'and')",tell,"('', 'and', 'tell')",the
,and,tell,"('and', 'tell')",the,"('and', 'tell', 'the')",face
and,tell,the,"('tell', 'the')",face,"('tell', 'the', 'face')",thou
tell,the,face,"('the', 'face')",thou,"('the', 'face', 'thou')",viewest
the,face,thou,"('face', 'thou')",viewest,"('face', 'thou', 'viewest')","
"
face,thou,viewest,"('thou', 'viewest')","
","
","
"
thou,viewest,"
","
","
","
","
"
"
",now,is,"('now', 'is')",the,"('now', 'is', 'the')",time
now,is,the,"('is', 'the')",time,"('is', 'the', 'time')",that
is,the,time,"('the', 'time')",that,"('the', 'time', 'that')",face
the,time,that,"('time', 'that')",face,"('time', 'that', 'face')",should
time,that,face,"('that', 'face')",should,"('that', 'face', 'should')",form
that,face,should,"('face', 'should')",form,"('face', 'should', 'form')",another;
face,should,form,"('should', 'form')",another;,"('should', 'form', 'another;')","
"
should,form,another;,"('form', 'another;')","
","
","
"
form,another;,"
","
","
","
","
"
"
",whose,fresh,"('whose', 'fresh')",repair,"('whose', 'fresh', 'repair')",if
whose,fresh,repair,"('fresh', 'repair')",if,"('fresh', 'repair', 'if')",now
fresh,repair,if,"('repair', 'if')",now,"('repair', 'if', 'now')",thou
repair,if,now,"('if', 'now')",thou,"('if', 'now', 'thou')",not
if,now,thou,"('now', 'thou')",not,"('now', 'thou', 'not')",renewest
now,thou,not,"('thou', 'not')",renewest,"('thou', 'not', 'renewest')",
thou,not,renewest,"('not', 'renewest')",,"('not', 'renewest', '')","
"
not,renewest,,"('renewest', '')","
","
","
"
renewest,,"
","
","
","
","
"
"
",thou,dost,"('thou', 'dost')",beguile,"('thou', 'dost', 'beguile')",the
thou,dost,beguile,"('dost', 'beguile')",the,"('dost', 'beguile', 'the')",world
dost,beguile,the,"('beguile', 'the')",world,"('beguile', 'the', 'world')",
beguile,the,world,"('the', 'world')",,"('the', 'world', '')",unbless
the,world,,"('world', '')",unbless,"('world', '', 'unbless')",some
world,,unbless,"('', 'unbless')",some,"('', 'unbless', 'some')",mother
,unbless,some,"('unbless', 'some')",mother,"('unbless', 'some', 'mother')",
unbless,some,mother,"('some', 'mother')",,"('some', 'mother', '')","
"
some,mother,,"('mother', '')","
","
","
"
mother,,"
","
","
","
","
"
"
",for,where,"('for', 'where')",is,"('for', 'where', 'is')",she
for,where,is,"('where', 'is')",she,"('where', 'is', 'she')",so
where,is,she,"('is', 'she')",so,"('is', 'she', 'so')",fair
is,she,so,"('she', 'so')",fair,"('she', 'so', 'fair')",whose
she,so,fair,"('so', 'fair')",whose,"('so', 'fair', 'whose')",unear'd
so,fair,whose,"('fair', 'whose')",unear'd,"('fair', 'whose', ""unear'd"")",womb
fair,whose,unear'd,"('whose', ""unear'd"")",womb,"('whose', ""unear'd"", 'womb')","
"
whose,unear'd,womb,"(""unear'd"", 'womb')","
","
","
"
unear'd,womb,"
","
","
","
","
"
"
",disdains,the,"('disdains', 'the')",tillage,"('disdains', 'the', 'tillage')",of
disdains,the,tillage,"('the', 'tillage')",of,"('the', 'tillage', 'of')",thy
the,tillage,of,"('tillage', 'of')",thy,"('tillage', 'of', 'thy')",husbandry?
tillage,of,thy,"('of', 'thy')",husbandry?,"('of', 'thy', 'husbandry?')","
"
of,thy,husbandry?,"('thy', 'husbandry?')","
","
","
"
thy,husbandry?,"
","
","
","
","
"
"
",or,who,"('or', 'who')",is,"('or', 'who', 'is')",he
or,who,is,"('who', 'is')",he,"('who', 'is', 'he')",so
who,is,he,"('is', 'he')",so,"('is', 'he', 'so')",fond
is,he,so,"('he', 'so')",fond,"('he', 'so', 'fond')",will
he,so,fond,"('so', 'fond')",will,"('so', 'fond', 'will')",be
so,fond,will,"('fond', 'will')",be,"('fond', 'will', 'be')",the
fond,will,be,"('will', 'be')",the,"('will', 'be', 'the')",tomb
will,be,the,"('be', 'the')",tomb,"('be', 'the', 'tomb')","
"
be,the,tomb,"('the', 'tomb')","
","
","
"
the,tomb,"
","
","
","
","
"
"
",of,his,"('of', 'his')",self,"('of', 'his', 'self')",love
of,his,self,"('his', 'self')",love,"('his', 'self', 'love')",
his,self,love,"('self', 'love')",,"('self', 'love', '')",to
self,love,,"('love', '')",to,"('love', '', 'to')",stop
love,,to,"('', 'to')",stop,"('', 'to', 'stop')",posterity?
,to,stop,"('to', 'stop')",posterity?,"('to', 'stop', 'posterity?')","
"
to,stop,posterity?,"('stop', 'posterity?')","
","
","
"
stop,posterity?,"
","
","
","
","
"
"
",thou,art,"('thou', 'art')",thy,"('thou', 'art', 'thy')",mother's
thou,art,thy,"('art', 'thy')",mother's,"('art', 'thy', ""mother's"")",glass
art,thy,mother's,"('thy', ""mother's"")",glass,"('thy', ""mother's"", 'glass')",
thy,mother's,glass,"(""mother's"", 'glass')",,"(""mother's"", 'glass', '')",and
mother's,glass,,"('glass', '')",and,"('glass', '', 'and')",she
glass,,and,"('', 'and')",she,"('', 'and', 'she')",in
,and,she,"('and', 'she')",in,"('and', 'she', 'in')",thee
and,she,in,"('she', 'in')",thee,"('she', 'in', 'thee')","
"
she,in,thee,"('in', 'thee')","
","
","
"
in,thee,"
","
","
","
","
"
"
",calls,back,"('calls', 'back')",the,"('calls', 'back', 'the')",lovely
calls,back,the,"('back', 'the')",lovely,"('back', 'the', 'lovely')",april
back,the,lovely,"('the', 'lovely')",april,"('the', 'lovely', 'april')",of
the,lovely,april,"('lovely', 'april')",of,"('lovely', 'april', 'of')",her
lovely,april,of,"('april', 'of')",her,"('april', 'of', 'her')",prime
april,of,her,"('of', 'her')",prime,"('of', 'her', 'prime')",
of,her,prime,"('her', 'prime')",,"('her', 'prime', '')","
"
her,prime,,"('prime', '')","
","
","
"
prime,,"
","
","
","
","
"
"
",so,thou,"('so', 'thou')",through,"('so', 'thou', 'through')",windows
so,thou,through,"('thou', 'through')",windows,"('thou', 'through', 'windows')",of
thou,through,windows,"('through', 'windows')",of,"('through', 'windows', 'of')",thine
through,windows,of,"('windows', 'of')",thine,"('windows', 'of', 'thine')",age
windows,of,thine,"('of', 'thine')",age,"('of', 'thine', 'age')",shall
of,thine,age,"('thine', 'age')",shall,"('thine', 'age', 'shall')",see
thine,age,shall,"('age', 'shall')",see,"('age', 'shall', 'see')","
"
age,shall,see,"('shall', 'see')","
","
","
"
shall,see,"
","
","
","
","
"
"
",despite,of,"('despite', 'of')",wrinkles,"('despite', 'of', 'wrinkles')",this
despite,of,wrinkles,"('of', 'wrinkles')",this,"('of', 'wrinkles', 'this')",thy
of,wrinkles,this,"('wrinkles', 'this')",thy,"('wrinkles', 'this', 'thy')",golden
wrinkles,this,thy,"('this', 'thy')",golden,"('this', 'thy', 'golden')",time
this,thy,golden,"('thy', 'golden')",time,"('thy', 'golden', 'time')",
thy,golden,time,"('golden', 'time')",,"('golden', 'time', '')","
"
golden,time,,"('time', '')","
","
","
"
time,,"
","
","
","
","
"
"
",,,"('', '')",but,"('', '', 'but')",if
,,but,"('', 'but')",if,"('', 'but', 'if')",thou
,but,if,"('but', 'if')",thou,"('but', 'if', 'thou')",live
but,if,thou,"('if', 'thou')",live,"('if', 'thou', 'live')",
if,thou,live,"('thou', 'live')",,"('thou', 'live', '')",remember'd
thou,live,,"('live', '')",remember'd,"('live', '', ""remember'd"")",not
live,,remember'd,"('', ""remember'd"")",not,"('', ""remember'd"", 'not')",to
,remember'd,not,"(""remember'd"", 'not')",to,"(""remember'd"", 'not', 'to')",be
remember'd,not,to,"('not', 'to')",be,"('not', 'to', 'be')",
not,to,be,"('to', 'be')",,"('to', 'be', '')","
"
"
",,,"('', '')",die,"('', '', 'die')",single
,,die,"('', 'die')",single,"('', 'die', 'single')",
,die,single,"('die', 'single')",,"('die', 'single', '')",and
die,single,,"('single', '')",and,"('single', '', 'and')",thine
single,,and,"('', 'and')",thine,"('', 'and', 'thine')",image
,and,thine,"('and', 'thine')",image,"('and', 'thine', 'image')",dies
and,thine,image,"('thine', 'image')",dies,"('thine', 'image', 'dies')",with
thine,image,dies,"('image', 'dies')",with,"('image', 'dies', 'with')",thee
image,dies,with,"('dies', 'with')",thee,"('dies', 'with', 'thee')",
dies,with,thee,"('with', 'thee')",,"('with', 'thee', '')","
"
"
",unthrifty,loveliness,"('unthrifty', 'loveliness')",,"('unthrifty', 'loveliness', '')",why
unthrifty,loveliness,,"('loveliness', '')",why,"('loveliness', '', 'why')",dost
loveliness,,why,"('', 'why')",dost,"('', 'why', 'dost')",thou
,why,dost,"('why', 'dost')",thou,"('why', 'dost', 'thou')",spend
why,dost,thou,"('dost', 'thou')",spend,"('dost', 'thou', 'spend')","
"
dost,thou,spend,"('thou', 'spend')","
","
","
"
thou,spend,"
","
","
","
","
"
"
",upon,thyself,"('upon', 'thyself')",thy,"('upon', 'thyself', 'thy')",beauty's
upon,thyself,thy,"('thyself', 'thy')",beauty's,"('thyself', 'thy', ""beauty's"")",legacy?
thyself,thy,beauty's,"('thy', ""beauty's"")",legacy?,"('thy', ""beauty's"", 'legacy?')","
"
thy,beauty's,legacy?,"(""beauty's"", 'legacy?')","
","
","
"
beauty's,legacy?,"
","
","
","
","
"
"
",nature's,bequest,"(""nature's"", 'bequest')",gives,"(""nature's"", 'bequest', 'gives')",nothing
nature's,bequest,gives,"('bequest', 'gives')",nothing,"('bequest', 'gives', 'nothing')",but
bequest,gives,nothing,"('gives', 'nothing')",but,"('gives', 'nothing', 'but')",doth
gives,nothing,but,"('nothing', 'but')",doth,"('nothing', 'but', 'doth')",lend
nothing,but,doth,"('but', 'doth')",lend,"('but', 'doth', 'lend')",
but,doth,lend,"('doth', 'lend')",,"('doth', 'lend', '')","
"
doth,lend,,"('lend', '')","
","
","
"
lend,,"
","
","
","
","
"
"
",and,being,"('and', 'being')",frank,"('and', 'being', 'frank')",she
and,being,frank,"('being', 'frank')",she,"('being', 'frank', 'she')",lends
